Mod:Item:MetaData, Localized Name
chisel:certus:3, 赛特斯石英块
chisel:certus:4, 赛特斯石英块
chisel:certus:5, 赛特斯石英块
chisel:certus:6, 赛特斯石英块
chisel:certus:7, 赛特斯石英块
chisel:certus:8, 赛特斯石英块
chisel:certus:9, 赛特斯石英块
chisel:certus:10, 赛特斯石英块
chisel:certus:11, 赛特斯石英块
chisel:certus:12, 赛特斯石英块
chisel:certus:13, 赛特斯石英块
chisel:certus:14, 赛特斯石英块
chisel:certus:15, 赛特斯石英块
chisel:certus1:0, 赛特斯石英块
chisel:certus1:1, 赛特斯石英块
chisel:certus1:2, 赛特斯石英块
chisel:certus1:3, 赛特斯石英块
chisel:certus1:4, 赛特斯石英块
chisel:certus1:5, 赛特斯石英块
chisel:certus1:6, 赛特斯石英块
chisel:certus1:7, 赛特斯石英块
chisel:certus1:8, 赛特斯石英块
chisel:certus1:9, 赛特斯石英块
chisel:certus1:10, 赛特斯石英块
chisel:certus1:11, 赛特斯石英块
chisel:certus1:12, 赛特斯石英块
chisel:certus1:13, 赛特斯石英块
chisel:certus1:14, 赛特斯石英块
chisel:certus1:15, 赛特斯石英块
chisel:certus2:0, 赛特斯石英块
chisel:certus2:1, 赛特斯石英块
chisel:carpet_black:0, 黑色地毯
chisel:carpet_black:1, 黑色地毯
chisel:carpet_red:0, 红色地毯
chisel:carpet_red:1, 红色地毯
chisel:carpet_green:0, 绿色地毯
chisel:carpet_green:1, 绿色地毯
chisel:carpet_brown:0, 棕色地毯
chisel:carpet_brown:1, 棕色地毯
chisel:carpet_blue:0, 蓝色地毯
chisel:carpet_blue:1, 蓝色地毯
chisel:carpet_purple:0, 紫色地毯
chisel:carpet_purple:1, 紫色地毯
chisel:carpet_cyan:0, 青色地毯
chisel:carpet_cyan:1, 青色地毯
chisel:carpet_lightgray:0, 淡灰色地毯
chisel:carpet_lightgray:1, 淡灰色地毯
chisel:carpet_gray:0, 灰色地毯
chisel:carpet_gray:1, 灰色地毯
chisel:carpet_pink:0, 粉红色地毯
chisel:carpet_pink:1, 粉红色地毯
chisel:carpet_lime:0, 黄绿色地毯
chisel:carpet_lime:1, 黄绿色地毯
chisel:carpet_yellow:0, 黄色地毯
chisel:carpet_yellow:1, 黄色地毯
chisel:carpet_lightblue:0, 淡蓝色地毯
chisel:carpet_lightblue:1, 淡蓝色地毯
chisel:carpet_magenta:0, 品红色地毯
chisel:carpet_magenta:1, 品红色地毯
chisel:carpet_orange:0, 橙色地毯
chisel:carpet_orange:1, 橙色地毯
chisel:carpet_white:0, 白色地毯
chisel:carpet_white:1, 白色地毯
chisel:block_charcoal:0, 木炭块
chisel:block_charcoal:1, 木炭块
chisel:block_charcoal:2, 木炭块
chisel:block_charcoal:3, 木炭块
chisel:block_charcoal:4, 木炭块
chisel:block_charcoal:5, 木炭块
chisel:block_charcoal:6, 木炭块
chisel:block_charcoal:7, 木炭块
chisel:block_charcoal:8, 木炭块
chisel:block_charcoal:9, 木炭块
chisel:block_charcoal:10, 木炭块
chisel:block_charcoal:11, 木炭块
chisel:block_charcoal:12, 木炭块
chisel:block_charcoal:13, 木炭块
chisel:block_charcoal:14, 木炭块
chisel:block_charcoal:15, 木炭块
chisel:block_charcoal1:0, 木炭块
chisel:block_charcoal1:1, 木炭块
chisel:block_charcoal1:2, 木炭块
chisel:block_charcoal1:3, 木炭块
chisel:block_charcoal1:4, 木炭块
chisel:block_charcoal1:5, 木炭块
chisel:block_charcoal1:6, 木炭块
chisel:block_charcoal1:7, 木炭块
chisel:block_charcoal1:8, 木炭块
chisel:block_charcoal1:9, 木炭块
chisel:block_charcoal1:10, 木炭块
chisel:block_charcoal1:11, 木炭块
chisel:block_charcoal1:12, 木炭块
chisel:block_charcoal1:13, 木炭块
chisel:block_charcoal1:14, 木炭块
chisel:block_charcoal1:15, 木炭块
chisel:block_charcoal2:0, 木炭块
chisel:block_charcoal2:1, 木炭块
chisel:cloud:0, 云朵
chisel:cloud:1, 云朵
chisel:cloud:2, 云朵
chisel:cloud:3, 云朵
chisel:cloud:4, 云朵
chisel:blockcobalt:0, 钴块
chisel:blockcobalt:1, 钴块
chisel:blockcobalt:2, 钴块
chisel:blockcobalt:3, 钴块
chisel:blockcobalt:4, 钴块
chisel:blockcobalt:5, 钴块
chisel:blockcobalt:6, 钴块
chisel:cobblestone:0, 圆石
chisel:cobblestone:1, 圆石
chisel:cobblestone:2, 圆石
chisel:cobblestone:3, 圆石
chisel:cobblestone:4, 圆石
chisel:cobblestone:5, 圆石
chisel:cobblestone:6, 圆石
chisel:cobblestone:7, 圆石
chisel:cobblestone:8, 圆石
chisel:cobblestone:9, 圆石
chisel:cobblestone:10, 圆石
chisel:cobblestone:11, 圆石
chisel:cobblestone:12, 圆石
chisel:cobblestone:13, 圆石
chisel:cobblestone:14, 圆石
chisel:cobblestone:15, 圆石
chisel:cobblestone1:0, 圆石
chisel:cobblestone1:1, 圆石
chisel:cobblestone1:2, 圆石
chisel:cobblestone1:3, 圆石
chisel:cobblestone1:4, 圆石
chisel:cobblestone1:5, 圆石
chisel:cobblestone1:6, 圆石
chisel:cobblestone1:7, 圆石
chisel:cobblestone1:8, 圆石
chisel:cobblestone1:9, 圆石
chisel:cobblestone2:0, 圆石
chisel:cobblestone2:1, 圆石
chisel:cobblestone2:2, 圆石
chisel:cobblestone2:3, 圆石
chisel:cobblestone2:4, 圆石
chisel:cobblestone2:5, 圆石
chisel:cobblestone2:6, 圆石
chisel:cobblestone2:7, 圆石
chisel:cobblestone2:8, 圆石
chisel:cobblestone2:9, 圆石
chisel:block_coal:0, 煤炭块
chisel:block_coal:1, 煤炭块
chisel:block_coal:2, 煤炭块
chisel:block_coal:3, 煤炭块
chisel:block_coal:4, 煤炭块
chisel:block_coal:5, 煤炭块
chisel:block_coal:6, 煤炭块
chisel:block_coal:7, 煤炭块
chisel:block_coal:8, 煤炭块
chisel:block_coal:9, 煤炭块
chisel:block_coal:10, 煤炭块
chisel:block_coal:11, 煤炭块
chisel:block_coal:12, 煤炭块
chisel:block_coal:13, 煤炭块
chisel:block_coal:14, 煤炭块
chisel:block_coal:15, 煤炭块
chisel:block_coal1:0, 煤炭块
chisel:block_coal1:1, 煤炭块
chisel:block_coal1:2, 煤炭块
chisel:block_coal1:3, 煤炭块
chisel:block_coal1:4, 煤炭块
chisel:block_coal1:5, 煤炭块
chisel:block_coal1:6, 煤炭块
chisel:block_coal1:7, 煤炭块
chisel:block_coal1:8, 煤炭块
chisel:block_coal1:9, 煤炭块
chisel:block_coal1:10, 煤炭块
chisel:block_coal1:11, 煤炭块
chisel:block_coal1:12, 煤炭块
chisel:block_coal1:13, 煤炭块
chisel:block_coal1:14, 煤炭块
chisel:block_coal1:15, 煤炭块
chisel:block_coal2:0, 煤炭块
chisel:block_coal2:1, 煤炭块
chisel:block_coal_coke:0, 焦煤块
chisel:block_coal_coke:1, 焦煤块
chisel:block_coal_coke:2, 焦煤块
chisel:block_coal_coke:3, 焦煤块
chisel:block_coal_coke:4, 焦煤块
chisel:block_coal_coke:5, 焦煤块
chisel:block_coal_coke:6, 焦煤块
chisel:block_coal_coke:7, 焦煤块
chisel:block_coal_coke:8, 焦煤块
chisel:block_coal_coke:9, 焦煤块
chisel:block_coal_coke:10, 焦煤块
chisel:block_coal_coke:11, 焦煤块
chisel:block_coal_coke:12, 焦煤块
chisel:block_coal_coke:13, 焦煤块
chisel:block_coal_coke:14, 焦煤块
chisel:block_coal_coke:15, 焦煤块
chisel:block_coal_coke1:0, 焦煤块
chisel:block_coal_coke1:1, 焦煤块
chisel:block_coal_coke1:2, 焦煤块
chisel:block_coal_coke1:3, 焦煤块
chisel:block_coal_coke1:4, 焦煤块
chisel:block_coal_coke1:5, 焦煤块
chisel:block_coal_coke1:6, 焦煤块
chisel:block_coal_coke1:7, 焦煤块
chisel:block_coal_coke1:8, 焦煤块
chisel:block_coal_coke1:9, 焦煤块
chisel:block_coal_coke1:10, 焦煤块
chisel:block_coal_coke1:11, 焦煤块
chisel:block_coal_coke1:12, 焦煤块
chisel:block_coal_coke1:13, 焦煤块
chisel:block_coal_coke1:14, 焦煤块
chisel:block_coal_coke1:15, 焦煤块
chisel:block_coal_coke2:0, 焦煤块
chisel:block_coal_coke2:1, 焦煤块
chisel:cobblestonemossy:0, 苔石
chisel:cobblestonemossy:1, 苔石
chisel:cobblestonemossy:2, 苔石
chisel:cobblestonemossy:3, 苔石
chisel:cobblestonemossy:4, 苔石
chisel:cobblestonemossy:5, 苔石
chisel:cobblestonemossy:6, 苔石
chisel:cobblestonemossy:7, 苔石
chisel:cobblestonemossy:8, 苔石
chisel:cobblestonemossy:9, 苔石
chisel:cobblestonemossy:10, 苔石
chisel:cobblestonemossy:11, 苔石
chisel:cobblestonemossy:12, 苔石
chisel:cobblestonemossy:13, 苔石
chisel:cobblestonemossy:14, 苔石
chisel:cobblestonemossy:15, 苔石
chisel:cobblestonemossy1:0, 苔石
chisel:cobblestonemossy1:1, 苔石
chisel:cobblestonemossy1:2, 苔石
chisel:cobblestonemossy1:3, 苔石
chisel:cobblestonemossy1:4, 苔石
chisel:cobblestonemossy1:5, 苔石
chisel:cobblestonemossy1:6, 苔石
chisel:cobblestonemossy1:7, 苔石
chisel:cobblestonemossy1:8, 苔石
chisel:cobblestonemossy1:9, 苔石
chisel:cobblestonemossy1:10, 苔石
chisel:cobblestonemossy1:11, 苔石
chisel:cobblestonemossy1:12, 苔石
chisel:cobblestonemossy1:13, 苔石
chisel:cobblestonemossy1:14, 苔石
chisel:cobblestonemossy1:15, 苔石
chisel:cobblestonemossy2:0, 苔石
chisel:concrete_black:0, 黑色混凝土
chisel:concrete_black:1, 黑色混凝土
chisel:concrete_black:2, 黑色混凝土
chisel:concrete_black:3, 黑色混凝土
chisel:concrete_black:4, 黑色混凝土
chisel:concrete_black:5, 黑色混凝土
chisel:concrete_black:6, 黑色混凝土
chisel:concrete_black:7, 黑色混凝土
chisel:concrete_black:8, 黑色混凝土
chisel:concrete_black:9, 黑色混凝土
chisel:concrete_black:10, 黑色混凝土
chisel:concrete_black:11, 黑色混凝土
chisel:concrete_black:12, 黑色混凝土
chisel:concrete_black:13, 黑色混凝土
chisel:concrete_black:14, 黑色混凝土
chisel:concrete_black:15, 黑色混凝土
chisel:concrete_black1:0, 黑色混凝土
chisel:concrete_black1:1, 黑色混凝土
chisel:concrete_black1:2, 黑色混凝土
chisel:concrete_black1:3, 黑色混凝土
chisel:concrete_black1:4, 黑色混凝土
chisel:concrete_black1:5, 黑色混凝土
chisel:concrete_black1:6, 黑色混凝土
chisel:concrete_black1:7, 黑色混凝土
chisel:concrete_black1:8, 黑色混凝土
chisel:concrete_black1:9, 黑色混凝土
chisel:concrete_black1:10, 黑色混凝土
chisel:concrete_black1:11, 黑色混凝土
chisel:concrete_black1:12, 黑色混凝土
chisel:concrete_black1:13, 黑色混凝土
chisel:concrete_black1:14, 黑色混凝土
chisel:concrete_black1:15, 黑色混凝土
chisel:concrete_black2:0, 黑色混凝土
chisel:concrete_red:0, 红色混凝土
chisel:concrete_red:1, 红色混凝土
chisel:concrete_red:2, 红色混凝土
chisel:concrete_red:3, 红色混凝土
chisel:concrete_red:4, 红色混凝土
chisel:concrete_red:5, 红色混凝土
chisel:concrete_red:6, 红色混凝土
chisel:concrete_red:7, 红色混凝土
chisel:concrete_red:8, 红色混凝土
chisel:concrete_red:9, 红色混凝土
chisel:concrete_red:10, 红色混凝土
chisel:concrete_red:11, 红色混凝土
chisel:concrete_red:12, 红色混凝土
chisel:concrete_red:13, 红色混凝土
chisel:concrete_red:14, 红色混凝土
chisel:concrete_red:15, 红色混凝土
chisel:concrete_red1:0, 红色混凝土
chisel:concrete_red1:1, 红色混凝土
chisel:concrete_red1:2, 红色混凝土
chisel:concrete_red1:3, 红色混凝土
chisel:concrete_red1:4, 红色混凝土
chisel:concrete_red1:5, 红色混凝土
chisel:concrete_red1:6, 红色混凝土
chisel:concrete_red1:7, 红色混凝土
chisel:concrete_red1:8, 红色混凝土
chisel:concrete_red1:9, 红色混凝土
chisel:concrete_red1:10, 红色混凝土
chisel:concrete_red1:11, 红色混凝土
chisel:concrete_red1:12, 红色混凝土
chisel:concrete_red1:13, 红色混凝土
chisel:concrete_red1:14, 红色混凝土
chisel:concrete_red1:15, 红色混凝土
chisel:concrete_red2:0, 红色混凝土
chisel:concrete_green:0, 绿色混凝土
chisel:concrete_green:1, 绿色混凝土
chisel:concrete_green:2, 绿色混凝土
chisel:concrete_green:3, 绿色混凝土
chisel:concrete_green:4, 绿色混凝土
chisel:concrete_green:5, 绿色混凝土
chisel:concrete_green:6, 绿色混凝土
chisel:concrete_green:7, 绿色混凝土
chisel:concrete_green:8, 绿色混凝土
chisel:concrete_green:9, 绿色混凝土
chisel:concrete_green:10, 绿色混凝土
chisel:concrete_green:11, 绿色混凝土
chisel:concrete_green:12, 绿色混凝土
chisel:concrete_green:13, 绿色混凝土
chisel:concrete_green:14, 绿色混凝土
chisel:concrete_green:15, 绿色混凝土
chisel:concrete_green1:0, 绿色混凝土
chisel:concrete_green1:1, 绿色混凝土
chisel:concrete_green1:2, 绿色混凝土
chisel:concrete_green1:3, 绿色混凝土
chisel:concrete_green1:4, 绿色混凝土
chisel:concrete_green1:5, 绿色混凝土
chisel:concrete_green1:6, 绿色混凝土
chisel:concrete_green1:7, 绿色混凝土
chisel:concrete_green1:8, 绿色混凝土
chisel:concrete_green1:9, 绿色混凝土
chisel:concrete_green1:10, 绿色混凝土
chisel:concrete_green1:11, 绿色混凝土
chisel:concrete_green1:12, 绿色混凝土
chisel:concrete_green1:13, 绿色混凝土
chisel:concrete_green1:14, 绿色混凝土
chisel:concrete_green1:15, 绿色混凝土
chisel:concrete_green2:0, 绿色混凝土
chisel:concrete_brown:0, 棕色混凝土
chisel:concrete_brown:1, 棕色混凝土
chisel:concrete_brown:2, 棕色混凝土
chisel:concrete_brown:3, 棕色混凝土
chisel:concrete_brown:4, 棕色混凝土
chisel:concrete_brown:5, 棕色混凝土
chisel:concrete_brown:6, 棕色混凝土
chisel:concrete_brown:7, 棕色混凝土
chisel:concrete_brown:8, 棕色混凝土
chisel:concrete_brown:9, 棕色混凝土
chisel:concrete_brown:10, 棕色混凝土
chisel:concrete_brown:11, 棕色混凝土
chisel:concrete_brown:12, 棕色混凝土
chisel:concrete_brown:13, 棕色混凝土
chisel:concrete_brown:14, 棕色混凝土
chisel:concrete_brown:15, 棕色混凝土
chisel:concrete_brown1:0, 棕色混凝土
chisel:concrete_brown1:1, 棕色混凝土
chisel:concrete_brown1:2, 棕色混凝土
chisel:concrete_brown1:3, 棕色混凝土
chisel:concrete_brown1:4, 棕色混凝土
chisel:concrete_brown1:5, 棕色混凝土
chisel:concrete_brown1:6, 棕色混凝土
chisel:concrete_brown1:7, 棕色混凝土
chisel:concrete_brown1:8, 棕色混凝土
chisel:concrete_brown1:9, 棕色混凝土
chisel:concrete_brown1:10, 棕色混凝土
chisel:concrete_brown1:11, 棕色混凝土
chisel:concrete_brown1:12, 棕色混凝土
chisel:concrete_brown1:13, 棕色混凝土
chisel:concrete_brown1:14, 棕色混凝土
chisel:concrete_brown1:15, 棕色混凝土
chisel:concrete_brown2:0, 棕色混凝土
chisel:concrete_blue:0, 蓝色混凝土
chisel:concrete_blue:1, 蓝色混凝土
chisel:concrete_blue:2, 蓝色混凝土
chisel:concrete_blue:3, 蓝色混凝土
chisel:concrete_blue:4, 蓝色混凝土
chisel:concrete_blue:5, 蓝色混凝土
chisel:concrete_blue:6, 蓝色混凝土
chisel:concrete_blue:7, 蓝色混凝土
chisel:concrete_blue:8, 蓝色混凝土
chisel:concrete_blue:9, 蓝色混凝土
chisel:concrete_blue:10, 蓝色混凝土
chisel:concrete_blue:11, 蓝色混凝土
chisel:concrete_blue:12, 蓝色混凝土
chisel:concrete_blue:13, 蓝色混凝土
chisel:concrete_blue:14, 蓝色混凝土
chisel:concrete_blue:15, 蓝色混凝土
chisel:concrete_blue1:0, 蓝色混凝土
chisel:concrete_blue1:1, 蓝色混凝土
chisel:concrete_blue1:2, 蓝色混凝土
chisel:concrete_blue1:3, 蓝色混凝土
chisel:concrete_blue1:4, 蓝色混凝土
chisel:concrete_blue1:5, 蓝色混凝土
chisel:concrete_blue1:6, 蓝色混凝土
chisel:concrete_blue1:7, 蓝色混凝土
chisel:concrete_blue1:8, 蓝色混凝土
chisel:concrete_blue1:9, 蓝色混凝土
chisel:concrete_blue1:10, 蓝色混凝土
chisel:concrete_blue1:11, 蓝色混凝土
chisel:concrete_blue1:12, 蓝色混凝土
chisel:concrete_blue1:13, 蓝色混凝土
chisel:concrete_blue1:14, 蓝色混凝土
chisel:concrete_blue1:15, 蓝色混凝土
chisel:concrete_blue2:0, 蓝色混凝土
chisel:concrete_purple:0, 紫色混凝土
chisel:concrete_purple:1, 紫色混凝土
chisel:concrete_purple:2, 紫色混凝土
chisel:concrete_purple:3, 紫色混凝土
chisel:concrete_purple:4, 紫色混凝土
chisel:concrete_purple:5, 紫色混凝土
chisel:concrete_purple:6, 紫色混凝土
chisel:concrete_purple:7, 紫色混凝土
chisel:concrete_purple:8, 紫色混凝土
chisel:concrete_purple:9, 紫色混凝土
chisel:concrete_purple:10, 紫色混凝土
chisel:concrete_purple:11, 紫色混凝土
chisel:concrete_purple:12, 紫色混凝土
chisel:concrete_purple:13, 紫色混凝土
chisel:concrete_purple:14, 紫色混凝土
chisel:concrete_purple:15, 紫色混凝土
chisel:concrete_purple1:0, 紫色混凝土
chisel:concrete_purple1:1, 紫色混凝土
chisel:concrete_purple1:2, 紫色混凝土
chisel:concrete_purple1:3, 紫色混凝土
chisel:concrete_purple1:4, 紫色混凝土
chisel:concrete_purple1:5, 紫色混凝土
chisel:concrete_purple1:6, 紫色混凝土
chisel:concrete_purple1:7, 紫色混凝土
chisel:concrete_purple1:8, 紫色混凝土
chisel:concrete_purple1:9, 紫色混凝土
chisel:concrete_purple1:10, 紫色混凝土
chisel:concrete_purple1:11, 紫色混凝土
chisel:concrete_purple1:12, 紫色混凝土
chisel:concrete_purple1:13, 紫色混凝土
chisel:concrete_purple1:14, 紫色混凝土
chisel:concrete_purple1:15, 紫色混凝土
chisel:concrete_purple2:0, 紫色混凝土
chisel:concrete_cyan:0, 青色混凝土
chisel:concrete_cyan:1, 青色混凝土
chisel:concrete_cyan:2, 青色混凝土
chisel:concrete_cyan:3, 青色混凝土
chisel:concrete_cyan:4, 青色混凝土
chisel:concrete_cyan:5, 青色混凝土
chisel:concrete_cyan:6, 青色混凝土
chisel:concrete_cyan:7, 青色混凝土
chisel:concrete_cyan:8, 青色混凝土
chisel:concrete_cyan:9, 青色混凝土
chisel:concrete_cyan:10, 青色混凝土
chisel:concrete_cyan:11, 青色混凝土
chisel:concrete_cyan:12, 青色混凝土
chisel:concrete_cyan:13, 青色混凝土
chisel:concrete_cyan:14, 青色混凝土
chisel:concrete_cyan:15, 青色混凝土
chisel:concrete_cyan1:0, 青色混凝土
chisel:concrete_cyan1:1, 青色混凝土
chisel:concrete_cyan1:2, 青色混凝土
chisel:concrete_cyan1:3, 青色混凝土
chisel:concrete_cyan1:4, 青色混凝土
chisel:concrete_cyan1:5, 青色混凝土
chisel:concrete_cyan1:6, 青色混凝土
chisel:concrete_cyan1:7, 青色混凝土
chisel:concrete_cyan1:8, 青色混凝土
chisel:concrete_cyan1:9, 青色混凝土
chisel:concrete_cyan1:10, 青色混凝土
chisel:concrete_cyan1:11, 青色混凝土
chisel:concrete_cyan1:12, 青色混凝土
chisel:concrete_cyan1:13, 青色混凝土
chisel:concrete_cyan1:14, 青色混凝土
chisel:concrete_cyan1:15, 青色混凝土
chisel:concrete_cyan2:0, 青色混凝土
chisel:concrete_lightgray:0, 淡灰色混凝土
chisel:concrete_lightgray:1, 淡灰色混凝土
chisel:concrete_lightgray:2, 淡灰色混凝土
chisel:concrete_lightgray:3, 淡灰色混凝土
chisel:concrete_lightgray:4, 淡灰色混凝土
chisel:concrete_lightgray:5, 淡灰色混凝土
chisel:concrete_lightgray:6, 淡灰色混凝土
chisel:concrete_lightgray:7, 淡灰色混凝土
chisel:concrete_lightgray:8, 淡灰色混凝土
chisel:concrete_lightgray:9, 淡灰色混凝土
chisel:concrete_lightgray:10, 淡灰色混凝土
chisel:concrete_lightgray:11, 淡灰色混凝土
chisel:concrete_lightgray:12, 淡灰色混凝土
chisel:concrete_lightgray:13, 淡灰色混凝土
chisel:concrete_lightgray:14, 淡灰色混凝土
chisel:concrete_lightgray:15, 淡灰色混凝土
chisel:concrete_lightgray1:0, 淡灰色混凝土
chisel:concrete_lightgray1:1, 淡灰色混凝土
chisel:concrete_lightgray1:2, 淡灰色混凝土
chisel:concrete_lightgray1:3, 淡灰色混凝土
chisel:concrete_lightgray1:4, 淡灰色混凝土
chisel:concrete_lightgray1:5, 淡灰色混凝土
chisel:concrete_lightgray1:6, 淡灰色混凝土
chisel:concrete_lightgray1:7, 淡灰色混凝土
chisel:concrete_lightgray1:8, 淡灰色混凝土
chisel:concrete_lightgray1:9, 淡灰色混凝土
chisel:concrete_lightgray1:10, 淡灰色混凝土
chisel:concrete_lightgray1:11, 淡灰色混凝土
chisel:concrete_lightgray1:12, 淡灰色混凝土
chisel:concrete_lightgray1:13, 淡灰色混凝土
chisel:concrete_lightgray1:14, 淡灰色混凝土
chisel:concrete_lightgray1:15, 淡灰色混凝土
chisel:concrete_lightgray2:0, 淡灰色混凝土
chisel:concrete_gray:0, 灰色混凝土
chisel:concrete_gray:1, 灰色混凝土
chisel:concrete_gray:2, 灰色混凝土
chisel:concrete_gray:3, 灰色混凝土
chisel:concrete_gray:4, 灰色混凝土
chisel:concrete_gray:5, 灰色混凝土
chisel:concrete_gray:6, 灰色混凝土
chisel:concrete_gray:7, 灰色混凝土
chisel:concrete_gray:8, 灰色混凝土
chisel:concrete_gray:9, 灰色混凝土
chisel:concrete_gray:10, 灰色混凝土
chisel:concrete_gray:11, 灰色混凝土
chisel:concrete_gray:12, 灰色混凝土
chisel:concrete_gray:13, 灰色混凝土
chisel:concrete_gray:14, 灰色混凝土
chisel:concrete_gray:15, 灰色混凝土
chisel:concrete_gray1:0, 灰色混凝土
chisel:concrete_gray1:1, 灰色混凝土
chisel:concrete_gray1:2, 灰色混凝土
chisel:concrete_gray1:3, 灰色混凝土
chisel:concrete_gray1:4, 灰色混凝土
chisel:concrete_gray1:5, 灰色混凝土
chisel:concrete_gray1:6, 灰色混凝土
chisel:concrete_gray1:7, 灰色混凝土
chisel:concrete_gray1:8, 灰色混凝土
chisel:concrete_gray1:9, 灰色混凝土
chisel:concrete_gray1:10, 灰色混凝土
chisel:concrete_gray1:11, 灰色混凝土
chisel:concrete_gray1:12, 灰色混凝土
chisel:concrete_gray1:13, 灰色混凝土
chisel:concrete_gray1:14, 灰色混凝土
chisel:concrete_gray1:15, 灰色混凝土
chisel:concrete_gray2:0, 灰色混凝土
chisel:concrete_pink:0, 粉红色混凝土
chisel:concrete_pink:1, 粉红色混凝土
chisel:concrete_pink:2, 粉红色混凝土
chisel:concrete_pink:3, 粉红色混凝土
chisel:concrete_pink:4, 粉红色混凝土
chisel:concrete_pink:5, 粉红色混凝土
chisel:concrete_pink:6, 粉红色混凝土
chisel:concrete_pink:7, 粉红色混凝土
chisel:concrete_pink:8, 粉红色混凝土
chisel:concrete_pink:9, 粉红色混凝土
chisel:concrete_pink:10, 粉红色混凝土
chisel:concrete_pink:11, 粉红色混凝土
chisel:concrete_pink:12, 粉红色混凝土
chisel:concrete_pink:13, 粉红色混凝土
chisel:concrete_pink:14, 粉红色混凝土
chisel:concrete_pink:15, 粉红色混凝土
chisel:concrete_pink1:0, 粉红色混凝土
chisel:concrete_pink1:1, 粉红色混凝土
chisel:concrete_pink1:2, 粉红色混凝土
chisel:concrete_pink1:3, 粉红色混凝土
chisel:concrete_pink1:4, 粉红色混凝土
chisel:concrete_pink1:5, 粉红色混凝土
chisel:concrete_pink1:6, 粉红色混凝土
chisel:concrete_pink1:7, 粉红色混凝土
chisel:concrete_pink1:8, 粉红色混凝土
chisel:concrete_pink1:9, 粉红色混凝土
chisel:concrete_pink1:10, 粉红色混凝土
chisel:concrete_pink1:11, 粉红色混凝土
chisel:concrete_pink1:12, 粉红色混凝土
chisel:concrete_pink1:13, 粉红色混凝土
chisel:concrete_pink1:14, 粉红色混凝土
chisel:concrete_pink1:15, 粉红色混凝土
chisel:concrete_pink2:0, 粉红色混凝土
chisel:concrete_lime:0, 黄绿色混凝土
chisel:concrete_lime:1, 黄绿色混凝土
chisel:concrete_lime:2, 黄绿色混凝土
chisel:concrete_lime:3, 黄绿色混凝土
chisel:concrete_lime:4, 黄绿色混凝土
chisel:concrete_lime:5, 黄绿色混凝土
chisel:concrete_lime:6, 黄绿色混凝土
chisel:concrete_lime:7, 黄绿色混凝土
chisel:concrete_lime:8, 黄绿色混凝土
chisel:concrete_lime:9, 黄绿色混凝土
chisel:concrete_lime:10, 黄绿色混凝土
chisel:concrete_lime:11, 黄绿色混凝土
chisel:concrete_lime:12, 黄绿色混凝土
chisel:concrete_lime:13, 黄绿色混凝土
chisel:concrete_lime:14, 黄绿色混凝土
chisel:concrete_lime:15, 黄绿色混凝土
chisel:concrete_lime1:0, 黄绿色混凝土
chisel:concrete_lime1:1, 黄绿色混凝土
chisel:concrete_lime1:2, 黄绿色混凝土
chisel:concrete_lime1:3, 黄绿色混凝土
chisel:concrete_lime1:4, 黄绿色混凝土
chisel:concrete_lime1:5, 黄绿色混凝土
chisel:concrete_lime1:6, 黄绿色混凝土
chisel:concrete_lime1:7, 黄绿色混凝土
chisel:concrete_lime1:8, 黄绿色混凝土
chisel:concrete_lime1:9, 黄绿色混凝土
chisel:concrete_lime1:10, 黄绿色混凝土
chisel:concrete_lime1:11, 黄绿色混凝土
chisel:concrete_lime1:12, 黄绿色混凝土
chisel:concrete_lime1:13, 黄绿色混凝土
chisel:concrete_lime1:14, 黄绿色混凝土
chisel:concrete_lime1:15, 黄绿色混凝土
chisel:concrete_lime2:0, 黄绿色混凝土
chisel:concrete_yellow:0, 黄色混凝土
chisel:concrete_yellow:1, 黄色混凝土
chisel:concrete_yellow:2, 黄色混凝土
chisel:concrete_yellow:3, 黄色混凝土
chisel:concrete_yellow:4, 黄色混凝土
chisel:concrete_yellow:5, 黄色混凝土
chisel:concrete_yellow:6, 黄色混凝土
chisel:concrete_yellow:7, 黄色混凝土
chisel:concrete_yellow:8, 黄色混凝土
chisel:concrete_yellow:9, 黄色混凝土
chisel:concrete_yellow:10, 黄色混凝土
chisel:concrete_yellow:11, 黄色混凝土
chisel:concrete_yellow:12, 黄色混凝土
chisel:concrete_yellow:13, 黄色混凝土
chisel:concrete_yellow:14, 黄色混凝土
chisel:concrete_yellow:15, 黄色混凝土
chisel:concrete_yellow1:0, 黄色混凝土
chisel:concrete_yellow1:1, 黄色混凝土
chisel:concrete_yellow1:2, 黄色混凝土
chisel:concrete_yellow1:3, 黄色混凝土
chisel:concrete_yellow1:4, 黄色混凝土
chisel:concrete_yellow1:5, 黄色混凝土
chisel:concrete_yellow1:6, 黄色混凝土
chisel:concrete_yellow1:7, 黄色混凝土
chisel:concrete_yellow1:8, 黄色混凝土
chisel:concrete_yellow1:9, 黄色混凝土
chisel:concrete_yellow1:10, 黄色混凝土
chisel:concrete_yellow1:11, 黄色混凝土
chisel:concrete_yellow1:12, 黄色混凝土
chisel:concrete_yellow1:13, 黄色混凝土
chisel:concrete_yellow1:14, 黄色混凝土
chisel:concrete_yellow1:15, 黄色混凝土
chisel:concrete_yellow2:0, 黄色混凝土
chisel:concrete_lightblue:0, 淡蓝色混凝土
chisel:concrete_lightblue:1, 淡蓝色混凝土
